,Crop,Type,Year,Value
0,paddy,Area,2011-01-01,1531.0
1,paddy,Production,2011-01-01,5072.0
2,paddy,Productivity,2011-01-01,3.31
3,Maize,Area,2011-01-01,871.0
4,Maize,Production,2011-01-01,2179.0
5,Maize,Productivity,2011-01-01,2.5
6,Wheat,Area,2011-01-01,765.0
7,Wheat,Production,2011-01-01,1846.0
8,Wheat,Productivity,2011-01-01,2.41
9,Barley,Area,2011-01-01,27.3
10,Barley,Production,2011-01-01,35.0
11,Barley,Productivity,2011-01-01,1.25
12,Millet,Area,2011-01-01,278.0
13,Millet,Production,2011-01-01,315.0
14,Millet,Productivity,2011-01-01,1.13
15,Buck Wheat*,Area,2011-01-01,10.3
16,Buck Wheat*,Production,2011-01-01,10.0
17,Buck Wheat*,Productivity,2011-01-01,0.97
18,paddy,Area,2012-01-01,1420.0
19,paddy,Production,2012-01-01,4504.0
20,paddy,Productivity,2012-01-01,3.17
21,Maize,Area,2012-01-01,849.0
22,Maize,Production,2012-01-01,1999.0
23,Maize,Productivity,2012-01-01,2.35
24,Wheat,Area,2012-01-01,759.0
25,Wheat,Production,2012-01-01,1882.0
26,Wheat,Productivity,2012-01-01,2.47
27,Barley,Area,2012-01-01,28.98
28,Barley,Production,2012-01-01,37.0
29,Barley,Productivity,2012-01-01,1.27
30,Millet,Area,2012-01-01,274.0
31,Millet,Production,2012-01-01,305.0
32,Millet,Productivity,2012-01-01,1.11
33,Buck Wheat*,Area,2012-01-01,10.68
34,Buck Wheat*,Production,2012-01-01,10.05
35,Buck Wheat*,Productivity,2012-01-01,0.94
36,paddy,Area,2013-01-01,1486.951
37,paddy,Production,2013-01-01,5047.047
38,paddy,Productivity,2013-01-01,3.39
39,Maize,Area,2013-01-01,928.76
40,Maize,Production,2013-01-01,2283.0
41,Maize,Productivity,2013-01-01,2.46
42,Wheat,Area,2013-01-01,754.0
43,Wheat,Production,2013-01-01,1883.0
44,Wheat,Productivity,2013-01-01,2.5
45,Barley,Area,2013-01-01,28.0
46,Barley,Production,2013-01-01,35.0
47,Barley,Productivity,2013-01-01,1.24
48,Millet,Area,2013-01-01,271.0
49,Millet,Production,2013-01-01,304.0
50,Millet,Productivity,2013-01-01,1.12
51,Buck Wheat*,Area,2013-01-01,10.5
52,Buck Wheat*,Production,2013-01-01,10.3
53,Buck Wheat*,Productivity,2013-01-01,0.98
54,paddy,Area,2014-01-01,1425.346
55,paddy,Production,2014-01-01,4788.612
56,paddy,Productivity,2014-01-01,3.36
57,Maize,Area,2014-01-01,882.395
58,Maize,Production,2014-01-01,2145.291
59,Maize,Productivity,2014-01-01,2.43
60,Wheat,Area,2014-01-01,762.373
61,Wheat,Production,2014-01-01,1975.625
62,Wheat,Productivity,2014-01-01,2.59
63,Barley,Area,2014-01-01,28.053
64,Barley,Production,2014-01-01,37.354
65,Barley,Productivity,2014-01-01,1.33
66,Millet,Area,2014-01-01,268.05
67,Millet,Production,2014-01-01,308.488
68,Millet,Productivity,2014-01-01,1.15
69,Buck Wheat*,Area,2014-01-01,10.819
70,Buck Wheat*,Production,2014-01-01,10.87
71,Buck Wheat*,Productivity,2014-01-01,1.0
72,paddy,Area,2015-01-01,1362.908
73,paddy,Production,2015-01-01,4299.078
