Date,Fiscal Year,Fiscal Year Overall Index,Fiscal Year Food and Beverages,Cereal Grains & Their Products,Cereal Grains & Pulses and Legumes,Cereal Grains & Pulses and Vegetables,Cereal Grains & Meat & Fish,Cereal Milk Products and Eggs,Cereal Milk Ghee and Oil,Cereal Milk Ghee Fruit,Cereal Sugar & Sugar  Products,Cereal Sugar & Sugar  Spices,Cereal Non- alcoholic Drinks,Cereal Non- Alcoholic Drinks,Cereal Fiscal Year Quarter/ Month,Cereal Fiscal Year Tobacco Products,Cereal Fiscal Year Restaurant & Hotel,Cereal Fiscal Year Non-food & Services,Cereal Fiscal Year Clothes & Footware,Cereal Fiscal Year Housing & Utilities,Furnishing & Household Equipment,Furnishing & Household Health,Furnishing & Transpor- tation,Furnishing & Commu- nication,Furnishing & Recreation & Culture,Furnishing & Recreation Education,Furnishing Miscellaneous Goods & Services,Year
2006-07-01,2006/07,49.8354097840922,40.871882865443,45.1565470743219,43.8176508027687,30.6230837233847,36.9362723223816,42.3020295545495,55.095750458879,35.7601442352815,36.5784067077393,47.4809402030329,49.9274900303411,46.4475699696641,2006/07,32.8105173286577,35.4863870029076,59.1989923084722,46.558639090832,62.858521179695,49.0351720604964,66.2796540416459,58.4097045643163,123.456406578092,64.7746247071438,53.633582675459,54.9430504682411,2006
2007-07-01,2007/08,53.1765940094657,44.6916850024003,51.6985115611005,49.7571277658038,32.9301142460433,39.8468228618563,45.6013521939015,66.632231540879,37.2768327278241,32.9126827596576,49.4156474439035,51.9014795108078,47.4244787070758,2007/08,35.701040879636,37.9941374881082,61.6256430894678,48.1330858233723,66.4895531796584,51.8844510368326,70.0191675965247,59.7530740345168,123.456406578092,67.5470794611461,56.1899497001772,55.9695184710893,2007
2008-07-01,2008/09,59.8589624602127,52.4458833404236,59.3024832697586,61.8975680990517,36.6378418717446,49.132865059228,52.2785527735425,77.5996485336324,43.2761783205481,48.1668243500618,55.3809947699212,61.9158651678097,52.8862866480592,2008/09,41.5743387332195,46.8914987986146,67.1561495205739,52.1816631356185,72.0253888517338,58.731911802544,73.5007836648602,69.6940081140003,123.57986298467,72.2098442746954,60.901685000638,62.6685728054668,2008
2009-07-01,2009/10,65.6001522559249,60.3910717852948,65.2922040011598,77.9976597409897,44.135691070385,59.4237401809422,58.5236991980303,74.0300647010853,52.1403799547413,70.0035024923976,70.5765078909258,73.4709255412734,59.2805983838447,2009/10,46.771131074872,56.4072095438279,70.4293063879632,56.1402720631482,74.3468683271203,62.3624446917466,75.9508097870222,66.4161866067111,123.57986298467,77.502712441427,67.8189134204636,67.3687157658768,2009
2010-07-01,2010/11,71.8589903119063,69.3294087857749,74.3829858204494,72.09553797898,59.5982885020133,64.5518530362072,67.0469493496898,75.8924562658925,62.2516365716918,83.6809886212613,86.940906636623,81.1261530386931,63.0994234482722,2010/11,53.1056826865903,65.1671598688438,74.2668006462817,63.6076479946246,79.8231788844422,65.9010653559061,79.1100539971785,73.1330339577134,110.493483887392,75.6754127171982,71.528151848486,71.3665385138117,2010
2011-07-01,2011/12,77.8354747713772,74.5625377134064,74.6378675537005,72.0581827779546,74.0446939177087,69.4027706019984,76.1593642583764,86.8598732586458,72.8010476420434,91.4066003828096,79.0005456688832,84.7371094054006,65.9857447178976,2011/12,58.8559795380046,72.930880549054,80.9259818592461,73.0093441975076,84.7042382942291,74.7246389600442,82.7206188087857,84.5248070650134,101.481166207191,81.5353739017939,78.4955051119335,78.4437652702912,2011
2012-07-01,2012/13,85.5060808099107,81.7437657308861,81.392233484855,81.0607862250707,78.2742498759161,79.4164504342388,82.718731886612,98.8102191328252,77.3511131196712,103.941011302057,82.9505729523274,94.0774498739504,71.2699328884425,2012/13,66.9740456811776,81.5877726349521,89.0524402886265,81.8712300920911,93.6925306220074,84.6511592646995,88.329889141104,93.7134542411846,99.3824072953638,88.1514591102084,88.0192254000991,86.3313615027034,2012
2013-07-01,2013/14,93.2708047139478,91.2168750305402,90.4405350152695,85.0204375337608,94.3136049382091,93.8652548980598,88.649657107352,99.7414149152288,87.934228378746,99.9993726482053,90.8909339200672,96.4366080335326,83.2592673930404,2013/14,79.5816484035297,90.2103119744776,95.0908503715688,90.9580369484661,98.4545398022874,92.4177422808418,94.841800676324,98.7107886703303,99.8762329216762,94.1374409654406,94.735954445437,92.59821878325,2013
2014-07-01,2014/15,100.000232097447,100.002419945542,99.9986000121861,99.9998731449375,99.9987872976178,99.9982006776672,100.000898092742,100.000080410341,100.00032794164,99.9993726482053,100.0001805125,99.9994183153505,99.9999307568677,2014/15,99.9998147636316,100.000844690672,100.000585672653,99.9998596124827,100.002192785878,100.000500846898,99.9997504071914,100.000423361723,99.9996893282543,99.9974021500362,99.999063025739,99.9995933301026,2014
2015-07-01,2015/16,109.922093052019,110.905361373559,109.190843983423,132.653347019856,110.276459849478,109.784955208284,109.953650442419,119.453966145901,106.534208373887,107.26220914617,113.472428665418,104.711558120192,112.876031009182,2015/16,107.596352650837,109.316267569263,109.162623327169,114.176869830527,112.714000509599,106.269537497916,102.583066664772,102.016193986236,105.111117863375,104.263057711128,110.073646711456,104.46028991533,2015
